
> fancy-strategy@1.0.0 ai:feed
> UV_THREADPOOL_SIZE=16 node src/ai/feed_real.js

Reading 9233821560 bytes into memory...
Read progress: 524288000/9233821560 (5.7%)
Read progress: 1048576000/9233821560 (11.4%)
Read progress: 1572864000/9233821560 (17.0%)
Read progress: 2097152000/9233821560 (22.7%)
Read progress: 2621440000/9233821560 (28.4%)
Read progress: 3145728000/9233821560 (34.1%)
Read progress: 3670016000/9233821560 (39.7%)
Read progress: 4194304000/9233821560 (45.4%)
Read progress: 4718592000/9233821560 (51.1%)
Read progress: 5242880000/9233821560 (56.8%)
Read progress: 5767168000/9233821560 (62.5%)
Read progress: 6291456000/9233821560 (68.1%)
Read progress: 6815744000/9233821560 (73.8%)
Read progress: 7340032000/9233821560 (79.5%)
Read progress: 7864320000/9233821560 (85.2%)
Read progress: 8388608000/9233821560 (90.8%)
Read progress: 8912896000/9233821560 (96.5%)
Read progress: 9233821560/9233821560 (100.0%)
Successfully read all 9233821560 bytes
First 16 bytes: d78ce40100000080b0ed9c2836cf0500
Middle 16 bytes: 4040f340c976be9f1a2f9d3ff2d24d62
Failed to load model from /Users/shiretu/work/crypto/models/myFirstModel/tf/model.json: Error: Path /Users/shiretu/work/crypto/models/myFirstModel/tf/model.json does not exist: loading failed. Creating a new one.
Sample 000488 | Trade 001231169 | Loss: 1.654322 | MAE: 1.283012 | Buy: -0.0040, Sell: -0.0041
Sample 000502 | Trade 122005502 | Loss: 775.671997 | MAE: 20.670605 | Buy: 0.0070, Sell: -0.0040
Sample 000507 | Trade 093236052 | Loss: 552.845703 | MAE: 21.715633 | Buy: -0.0040, Sell: 0.0070
Sample 000508 | Trade 101811970 | Loss: 317.214478 | MAE: 15.619207 | Buy: -0.0040, Sell: 0.0070
Sample 000511 | Trade 061719769 | Loss: 137.260971 | MAE: 11.662752 | Buy: -0.0040, Sell: 0.0070
Sample 000512 | Trade 109194455 | Loss: 57.937984 | MAE: 6.990891 | Buy: -0.0040, Sell: 0.0070
Sample 000513 | Trade 123517541 | Loss: 26.803711 | MAE: 4.787644 | Buy: 0.0070, Sell: -0.0040
Sample 000515 | Trade 000488758 | Loss: 181.877045 | MAE: 11.343984 | Buy: -0.0040, Sell: 0.0070
Sample 000516 | Trade 098944338 | Loss: 13.218583 | MAE: 3.050728 | Buy: -0.0040, Sell: 0.0070
Sample 000517 | Trade 042796680 | Loss: 39.790825 | MAE: 6.016665 | Buy: 0.0070, Sell: -0.0040
Sample 000524 | Trade 116001744 | Loss: 392.818054 | MAE: 19.818363 | Buy: 0.0070, Sell: -0.0040
Sample 000527 | Trade 020731739 | Loss: 122.285942 | MAE: 8.698170 | Buy: -0.0041, Sell: -0.0040
Sample 000528 | Trade 099862869 | Loss: 449.690643 | MAE: 19.189157 | Buy: -0.0040, Sell: 0.0070
Sample 000530 | Trade 032994844 | Loss: 63.468868 | MAE: 7.369921 | Buy: 0.0070, Sell: -0.0042
Sample 000536 | Trade 041079524 | Loss: 303.139526 | MAE: 13.252160 | Buy: -0.0041, Sell: 0.0072
Sample 000538 | Trade 019385395 | Loss: 125.988907 | MAE: 8.914281 | Buy: -0.0040, Sell: 0.0070
Sample 000542 | Trade 064376597 | Loss: 132.691711 | MAE: 11.108706 | Buy: 0.0070, Sell: -0.0040
Sample 000543 | Trade 109421148 | Loss: 673.796387 | MAE: 20.608917 | Buy: 0.0070, Sell: -0.0040
